"Cancer_type","CellType","Coef","SE","CI_lower","CI_upper","Pval","I2","Q_Pval","FDR"
"Melanoma","Macrophages_M2",0.0989191117366391,0.0986443590738413,-0.0944202793261268,0.292258502799405,0.315964470120433,0.486131678391037,0.0998150104313403,0.613342794939664
"Other","Macrophages_M2",0.0322439496168941,0.0774282984531922,-0.119512726735581,0.184000625969369,0.677090813208979,0,0.531785959356292,0.910079976578722
"Lung","Dendritic_cells_resting",-0.0919210136618364,0.0459642713565075,-0.182009330096217,-0.00183269722745573,0.0455179544777275,0,0.667701609398496,0.429169285075716
"Melanoma","Dendritic_cells_resting",0.0272223583610963,0.075151530954434,-0.120071935692641,0.174516652414834,0.717177982360518,0.0712073064967388,0.366091109730768,0.910079976578722
"Other","Dendritic_cells_resting",0.226045478256153,0.076089086129196,0.076913609826363,0.375177346685944,0.00297024875213483,0,0.716733613461665,0.0653454725469664
"Lung","Dendritic_cells_activated",0.0326904263211115,0.04230711938938,-0.0502300039717095,0.115610856613933,0.43970393200083,0,0.762503048597599,0.744114346462944
"Melanoma","Dendritic_cells_activated",-0.0154114855588104,0.0696562148649951,-0.151935157993584,0.121112186875963,0.824897242655308,0,0.602325197931594,0.910079976578722
"Other","Dendritic_cells_activated",-0.0905649617614687,0.179261533720807,-0.441911111667662,0.260781188144725,0.613410398118785,0.628651237316839,0.0444137290457152,0.899668583907551
"Lung","Mast_cells_resting",-0.000905599594254166,0.0429352244640475,-0.0850570932119302,0.0832458940234219,0.983172083734164,0.00190916799401948,0.414714086441055,0.991445474727558
"Melanoma","Mast_cells_resting",0.152121305919397,0.0728309401234369,0.00937528631726742,0.294867325521526,0.0367355762782537,0.288749415405393,0.229051591764249,0.40409133906079
"Other","Mast_cells_resting",-0.112260271575568,0.085612150141305,-0.280057002491561,0.055536459340426,0.1897680297611,0,0.857145260716592,0.555816424064486
"Lung","Mast_cells_activated",0.0344698246866563,0.0400959994296748,-0.0441168901196448,0.113056539492957,0.3899641437082,0,0.538703242416408,0.714934263465034
"Melanoma","Mast_cells_activated",0.051101046583911,0.0880566412337354,-0.121486798833775,0.223688892001597,0.561698715993245,0.400439779580089,0.154296808721973,0.862142215245446
"Other","Mast_cells_activated",0.130297932817164,0.0733753200267598,-0.0135150517893857,0.274110917423714,0.0757702932511309,0,0.496299201444996,0.500083935457464
"Lung","Eosinophils",0.0240843497675181,0.0625809748318472,-0.0985721070203099,0.146740806555346,0.700347822797958,0.372035260443159,0.158329499969097,0.910079976578722
"Melanoma","Eosinophils",0.120705536595229,0.0794823179335964,-0.0350769439623819,0.27648801715284,0.128851523147362,0.193988301689008,0.291145426138561,0.531451394083697
"Other","Eosinophils",0.0237690261081903,0.0844878245936549,-0.141824067227511,0.189362119443891,0.778456699550551,0,0.556474970671332,0.910079976578722
"Lung","Neutrophils",0.0871378077771858,0.0590635820871891,-0.0286246859116299,0.202900301466001,0.140125968419509,0.445516378158335,0.108372183668031,0.531451394083697
"Melanoma","Neutrophils",0.0705993966729294,0.0632166311415447,-0.0533029235884513,0.19450171693431,0.264086187706283,0,0.542990745492089,0.603671543895057
"Other","Neutrophils",-0.0312955011947534,0.0806155497918046,-0.189299075380586,0.126708072991079,0.697863032749877,0,0.668573732516397,0.910079976578722
